tconst	titleType	primaryTitle	averageRating	numVotes	startYear	runtimeMinutes	genre1	genre2	genre3
tt0021102	movie	Lovin' the Ladies	6.3	147	1930	65	Comedy	Music	Romance
tt0021106	movie	Madam Satan	6.4	1128	1930	116	Comedy	Drama	Musical
tt0021109	movie	Mamba	5.9	88	1930	78	Drama	NA	NA
tt0021114	movie	Man Trouble	5.5	27	1930	85	Crime	Drama	Music
tt0021118	movie	Man to Man	6	156	1930	68	Crime	Drama	Romance
tt0021125	movie	Maria do Mar	6.8	110	1930	94	Drama	Romance	NA
tt0021133	movie	Maybe It's Love	5	320	1930	72	Comedy	Music	Romance
tt0021139	movie	Men Without Law	5.4	35	1930	65	War	Western	NA
tt0021155	movie	The Shot in the Talker Studio	5.6	59	1930	73	Thriller	NA	NA
tt0021165	movie	Murder!	6.3	6580	1930	104	Crime	Mystery	Thriller
tt0021177	movie	Nerone	7.1	42	1930	78	Comedy	NA	NA
tt0021178	movie	New Moon	5.9	196	1930	78	Drama	Music	Musical
tt0021182	short	Night Owls	7.5	1675	1930	21	Comedy	Short	NA
tt0021185	movie	No, No, Nanette	6.1	38	1930	98	Comedy	Musical	NA
tt0021189	movie	Not So Dumb	5.8	1124	1930	76	Comedy	Romance	NA
tt0021191	movie	A Notorious Affair	5.3	304	1930	69	Drama	Romance	NA
tt0021198	movie	Officer O'Brien	5	58	1930	72	Comedy	Crime	Drama
tt0021201	movie	Young Lady	4	53	1930	135	Comedy	NA	NA
tt0021203	movie	Old English	5.6	109	1930	85	Drama	NA	NA
tt0021207	movie	On Your Back	5.7	16	1930	70	Drama	NA	NA
tt0021217	movie	One Romantic Night	5.6	449	1930	73	Comedy	Romance	NA
tt0021221	short	Oshikiri shinkonki	4.7	12	1930	37	Drama	Short	NA
tt0021228	movie	Paid	6.3	781	1930	86	Crime	Drama	Romance
tt0021232	movie	Paramount on Parade	5.8	336	1930	102	Comedy	Music	NA
tt0021234	movie	Le parfum de la dame en noir	6.5	98	1931	109	Crime	Drama	NA
tt0021237	movie	May I Come In	6.6	47	1930	72	Comedy	Romance	Sport
tt0021240	movie	Passion Flower	6	387	1930	79	Drama	NA	NA
tt0021247	movie	Little Lise	7.2	216	1930	84	Drama	NA	NA
tt0021248	movie	Phantom of the Desert	6.5	24	1930	58	Western	NA	NA
tt0021249	movie	The Phantom of the West	6	68	1930	172	Western	NA	NA
tt0021263	movie	Playing Around	5.8	310	1930	66	Comedy	Drama	Music
tt0021268	movie	Holiday of St. Jorgen	7.4	250	1930	83	Comedy	NA	NA
tt0021273	movie	Beauty Prize	6.9	638	1930	93	Drama	Music	Romance
tt0021276	movie	Puttin' on the Ritz	5.5	171	1930	88	Music	Romance	NA
tt0021277	movie	Five Brides	7.1	30	1930	57	Drama	NA	NA
tt0021279	movie	Queen High	6.1	129	1930	85	Comedy	Musical	NA
tt0021283	movie	I Flunked, But...	6.3	501	1930	65	Comedy	Drama	NA
tt0021287	movie	Reaching for the Moon	5.5	454	1930	91	Comedy	Romance	NA
tt0021297	movie	The Return of Dr. Fu Manchu	5.8	263	1930	73	Adventure	Crime	Mystery
tt0021307	movie	The Rogue Song	5.6	193	1930	104	Musical	Romance	NA
tt0021309	movie	The Story of the Fox	7.7	1415	1937	63	Adventure	Animation	Comedy
tt0021310	movie	Romance	5.8	951	1930	76	Drama	Romance	NA
tt0021312	short	Sentimental Romance	6.5	622	1930	20	Comedy	Short	NA
tt0021319	movie	Rough Romance	5.5	113	1930	55	Adventure	Western	NA
tt0021321	movie	The Road Is Fine	4.6	20	1929	NA	Drama	Musical	NA
tt0021323	movie	A Royal Romance	6.5	17	1930	66	Comedy	Drama	Romance
tt0021327	movie	Safety in Numbers	5.4	139	1930	80	Comedy	Music	Romance
tt0021331	movie	The Blood of a Poet	7.3	6977	1932	55	Fantasy	NA	NA
tt0021334	movie	The Sap from Syracuse	5.9	107	1930	68	Comedy	Musical	Romance
tt0021342	movie	Scotland Yard	5.3	79	1930	75	Crime	Drama	Romance
